Country,ISO Code,ID 2021,Latitude,Longitude,BCM 2021,Type
Venezuela,VEN,4335,9.652413,-63.623903,1.331804316,upstream oil
Iraq,IRQ,7480,31.026091,47.283637,1.25429772,upstream oil
Russian Federation,RUS,10542,61.345909,112.807013,0.989222518,upstream oil
Venezuela,VEN,4361,9.648428,-63.563296,0.910641601,upstream oil
Iran,IRN,7677,31.00335,48.139754,0.867527915,upstream oil
Russian Federation,RUS,10318,60.425914,96.510615,0.786698559,upstream oil
Russian Federation,RUS,10393,57.874536,105.886809,0.714102719,upstream oil
Iran,IRN,7942,28.494112,49.714382,0.673815727,upstream oil
Venezuela,VEN,4296,9.620179,-63.724818,0.628512307,upstream oil
Mexico,MEX,3719,18.507881,-96.1456,0.559297933,upstream oil
Iraq,IRQ,7557,30.525983,47.611181,0.5487514,upstream oil
Libya,LBY,5745,28.909453,19.77335,0.544357256,upstream oil
Mexico,MEX,3804,17.842226,-93.119615,0.509121914,upstream oil
Iran,IRN,8212,27.719936,52.17693,0.499593931,upstream oil
Iraq,IRQ,7376,35.684931,43.876676,0.495000186,upstream oil
Mexico,MEX,3787,17.898305,-93.183824,0.487092488,upstream oil
Iran,IRN,7694,30.751665,48.280295,0.463372329,upstream oil
Iran,IRN,8302,25.532421,53.148819,0.440553306,upstream oil
Russian Federation,RUS,10351,60.84325,97.353688,0.431450941,upstream oil
Iraq,IRQ,7487,30.567848,47.315211,0.415403656,upstream oil
Venezuela,VEN,4373,9.652557,-63.535153,0.410466481,upstream oil
Algeria,DZA,5516,31.662874,6.05634,0.407431381,upstream oil
Russian Federation,RUS,10290,60.434352,96.250029,0.398334887,upstream oil
Iraq,IRQ,7497,30.882448,47.332778,0.393940742,upstream oil
Russian Federation,RUS,10466,58.447732,107.601024,0.393503383,upstream oil
Russian Federation,RUS,10413,58.035439,106.546552,0.382874661,upstream oil
Russian Federation,RUS,10435,57.984548,106.805781,0.366028975,upstream oil
Iraq,IRQ,7445,31.769106,46.064469,0.365028037,upstream oil
Iraq,IRQ,7515,32.117644,47.410461,0.360510611,upstream oil
Venezuela,VEN,4395,9.735792,-63.473691,0.35786297,upstream oil
Iraq,IRQ,7495,30.610071,47.326985,0.355485377,upstream oil
Iraq,IRQ,7550,30.52979,47.599045,0.355244683,upstream oil
Iran,IRN,8217,27.714337,52.187683,0.346306694,upstream oil
Iran,IRN,8272,27.498746,52.648564,0.346118835,upstream oil
Venezuela,VEN,4265,9.37458,-64.526333,0.343386071,upstream oil
Iran,IRN,8230,27.68405,52.249464,0.34147519,upstream oil
Iran,IRN,7454,32.990538,46.183671,0.337034081,upstream oil
Mexico,MEX,3858,19.394786,-92.043053,0.335701455,upstream oil
Iran,IRN,8024,30.348604,50.290181,0.335422602,upstream oil
Iran,IRN,8270,27.503989,52.63879,0.333699581,upstream oil
Iran,IRN,7610,31.434372,47.836562,0.33325635,refinery
Kazakhstan,KAZ,7115,48.327267,57.433787,0.332992173,upstream oil
Mexico,MEX,3838,19.566473,-92.237654,0.325921036,upstream oil
Iraq,IRQ,7430,34.756628,45.151855,0.325292881,upstream oil
Iraq,IRQ,7384,35.628884,44.009268,0.319325416,upstream oil
Oman,OMN,8401,23.153534,55.448205,0.3170124,upstream oil
Iraq,IRQ,7488,30.495006,47.316486,0.314661225,upstream oil
Kazakhstan,KAZ,7104,48.233824,57.351665,0.307642922,upstream oil
Venezuela,VEN,4233,11.738656,-70.198743,0.306844521,refinery
Congo,COG,6251,-4.92311,11.381319,0.30619582,upstream oil
Iraq,IRQ,7561,31.08186,47.626902,0.303401414,upstream oil
Venezuela,VEN,4397,9.729782,-63.461678,0.302007146,upstream oil
Iran,IRN,8268,27.512689,52.620683,0.300445567,upstream oil
Iraq,IRQ,7521,31.67552,47.436292,0.299923083,upstream oil
Iraq,IRQ,7530,31.65626,47.51515,0.297422208,upstream oil
Russian Federation,RUS,8998,66.953719,75.543682,0.294304919,upstream oil
Iraq,IRQ,7493,30.686863,47.329757,0.290483746,upstream oil
Russian Federation,RUS,9498,68.411631,83.623184,0.290459676,upstream oil
Iran,IRN,7473,32.490563,47.210249,0.28727693,upstream oil
Iran,IRN,7735,31.212031,48.954025,0.286456514,upstream oil
Iran,IRN,7457,33.695976,46.228298,0.283364763,upstream oil
Iraq,IRQ,7501,30.357529,47.338265,0.282507361,upstream oil
Iran,IRN,7850,31.135026,49.319877,0.279510714,upstream oil
Venezuela,VEN,4264,9.386707,-64.546123,0.278878157,upstream oil
Turkmenistan,TKM,8309,39.398384,53.187013,0.278133471,upstream oil
Russian Federation,RUS,8772,66.198634,70.987745,0.27590822,upstream oil
Algeria,DZA,5654,28.73595,9.789314,0.274942213,upstream oil
Iraq,IRQ,7463,30.351911,46.838027,0.274199582,upstream oil
Iraq,IRQ,7551,30.476574,47.602015,0.273066263,upstream oil
Iraq,IRQ,7556,30.419382,47.608191,0.271540787,upstream oil
Russian Federation,RUS,6876,51.567375,52.756941,0.270833967,upstream oil
Venezuela,VEN,4412,8.686481,-63.154921,0.262095872,upstream oil
Congo,COG,6295,-4.512553,12.050574,0.260689864,upstream oil
Iran,IRN,7666,31.271879,48.116664,0.260506407,upstream oil
Iraq,IRQ,7386,35.724665,44.040179,0.260148888,upstream oil
Iran,IRN,8303,25.506747,53.149857,0.258974181,upstream oil
Libya,LBY,5727,29.072576,19.062036,0.25836041,upstream oil
Libya,LBY,5796,27.987002,22.32379,0.257371213,upstream oil
Russian Federation,RUS,10552,61.540697,113.15775,0.254995088,upstream oil
Iraq,IRQ,7367,35.981261,43.769569,0.253199272,upstream oil
